bic_nombre,bic_categoria,bic_entorno,municipio_nombre,bic_descripcion,boletin1_nombre,boletin1_url,boletin2_nombre,boletin2_url
MUSEO MUNICIPAL DE SANTA CRUZ DE TENERIFE,MONUMENTO,falso,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Museo Municipal de Santa Cruz de Tenerife”, en el municipio homónimo, declarado por Decreto 474/1962, de 1 de marzo, del Ministerio de Educación Nacional, publicado en el BOE nº 59 de 9 de marzo de 1962, y delimitación del entorno de protección por Decreto 116/2008, de 27 de mayo, del Gobierno de Canarias, publicado en el BOC nº 112 de 6 de junio de 2008.",BOE nº 59 de 9 de marzo de 1962,http://www.boe.es/boe/dias/1962/03/09/pdfs/A03311-03313.pdf,BOC nº 112 de 6 de junio de 2008,http://www.gobiernodecanarias.org/boc/2008/112/012.html
IGLESIA DE SANTIAGO APÓSTOL,MONUMENTO,verdadero,REALEJOS (LOS),"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de Santiago Apóstol”, en el municipio de Los Realejos, declarado por Real Decreto 596/1983 del Ministerio de Cultura, publicado en el BOE nº 69 de 22 de marzo de 1983, y modificación de la categoría, vinculación de bienes muebles y delimitación del entorno de protección por Decreto 74/2014, de 26 de junio, del Gobierno de Canarias, publicado en el BOC nº 128 de 4 de julio de 2014. ",BOE nº 69 de 22 de marzo de 1983,http://www.boe.es/boe/dias/1983/03/22/pdfs/A08294-08294.pdf,BOC nº 128 de 4 de julio de 2014,http://www.gobiernodecanarias.org/boc/2014/128/007.html
HACIENDA DE LAS PALMAS DE ANAGA - TAGANANA,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento de la “Hacienda de Las Palmas de Anaga”, en el municipio de Santa Cruz, declarado por Decreto 47/2014, de 22 de mayo, del Gobierno de Canarias, publicado en el BOC nº 104 de 2 de junio de 2014.",BOC nº 104 de 2 de junio de 2014,http://www.gobiernodecanarias.org/boc/2014/104/005.html,,
HACIENDA EL LAMERO,MONUMENTO,verdadero,GARACHICO,"Bien de Interés Cultural con categoría de Monumento de la “Hacienda El Lamero”, en el municipio de Garachico, declarado por Decreto 19/2015, de 26 de febrero, del Gobierno de Canarias, publicado en el BOC nº 45 de 6 de marzo de 2015",BOC nº 45 de 6 de marzo de 2015,http://www.gobiernodecanarias.org/boc/2015/045/index.html,,
BARRANCO DEL PILAR,ZONA ARQUEOLÓGICA,falso,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Zona Arqueológica del “Barranco del Pilar”, en el municipio de Santa Cruz, con entorno de protección declarado por Decreto 11/2000, de 31 de enero, del Gobierno de Canarias, publicado en el BOC nº 128 de 25 de septiembre de 2000.",BOC nº 128 de 25 de septiembre de 2000,http://www.gobiernodecanarias.org/boc/2000/128/004.html,,
CASA DE IRIARTE,SITIO HISTÓRICO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Sitio Histórico de la “Casa Iriarte”, en el municipio del Puerto de la Cruz, declarado por Decreto 44/2009, de 21 de abril, del Gobierno de Canarias, publicado en el BOC nº 82 de 30 de abril de 2009. ",BOC nº 82 de 30 de abril de 2009,http://www.gobiernodecanarias.org/boc/2009/082/008.html,,
CASA LERCARO,MONUMENTO,verdadero,OROTAVA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Casa Lercaro”, en el municipio de La Orotava, declarado por Decreto 21/2004, de 2 de marzo, del Gobierno de Canarias, publicado en el BOC nº 54 de 18 de marzo de 2004.", BOC nº 54 de 18 de marzo de 2004,http://www.gobiernodecanarias.org/boc/2004/054/002.html,,
IGLESIA DE SANTA CATALINA DE ALEJANDRÍA,MONUMENTO,verdadero,TACORONTE,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de Santa Catalina de Alejandría” en el municipio de Tacoronte, declarado por Decreto 50/1986, de 14 de marzo, del Gobierno de Canarias, publicado en el BOC nº 38 de 2 de abril de 1986, y delimitación del entorno de protección y cambio de categoría por Decreto 106/2016, de 25 de julio, del Gobierno de Canarias, publicado en el BOC nº 148 de 2 de agosto de 2016.",BOC nº 38 de 2 de abril de 1986,http://www.gobiernodecanarias.org/boc/1986/038/006.html,BOC nº 148 de 2 de agosto de 2016,http://www.gobiernodecanarias.org/boc/2016/148/013.html
HACIENDA DE SAN NICOLÁS DE TOLENTINO,MONUMENTO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Monumento de la “Hacienda de San Nicolás de Tolentino”, en el municipio del Puerto de la Cruz, declarado por Decreto 30/1986, de 7 de febrero, del Gobierno de Canarias, publicado en el BOC nº 28 de 7 de marzo de 1986, y modificación de la categoría y la denominación, delimitación del entorno de protección y vinculación de bienes muebles por Decreto 51/2015, de 16 de abril, del Gobierno de Canarias, publicado en el BOC nº 78 de 24 de abril de 2015.", BOC nº 28 de 7 de marzo de 1986,http://www.gobiernodecanarias.org/boc/1986/028/006.html,BOC nº 78 de 24 de abril de 2015,https://www.gobiernodecanarias.org/boc/2015/078/009.html
MOLINOS Y LAVADEROS DE CHACAICA,SITIO ETNOLÓGICO,verdadero,GÜIMAR,"Bien de Interés Cultural con categoría de Sitio Etnológico del “Molino y Lavaderos de Chacaica"", en el municipio de Güímar, declarado por Decreto 366/2007, de 2 de octubre, del Gobierno de Canarias, publicado en el BOC nº 206 de 16 de octubre de 2007.",BOC nº 206 de 16 de octubre de 2007,http://www.gobiernodecanarias.org/boc/2007/206/002.html,,
IGLESIA DE NUESTRA SEÑORA DE LA VICTORIA,MONUMENTO,verdadero,VICTORIA DE ACENTEJO (LA),"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de Nuestra Señora de la Victoria”, en el municipio de La Victoria, declarado por Decreto 602/1985, de 20 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 13 de 31 de enero de 1986, y modificación de la categoría, delimitación del entorno de protección y establecimiento de los bienes muebles vinculados por Decreto 65/2014, de 12 de junio, publicado en el BOC nº 117 de 19 de junio de 2014.",BOC nº 13 de 31 de enero de 1986,http://www.gobiernodecanarias.org/boc/1986/013/005.html,BOC nº 117 de 19 de junio de 2014,http://www.gobiernodecanarias.org/boc/2014/117/006.html
IGLESIA DE SAN BARTOLOMÉ DE TEJINA,MONUMENTO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Bartolomé de Tejina”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 87/2006, de 27 de junio, del Gobierno de Canarias, publicado en el BOC nº 130 de 6 de julio de 2006.",BOC nº 130 de 6 de julio de 2006,http://www.gobiernodecanarias.org/boc/2006/130/008.html,,
CASONA Y JARDINES DE SAN FERNANDO,MONUMENTO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Monumento de la “Casona y Jardines de San Fernando”, en el municipio del Puerto de la Cruz, declarado por Decreto 21/1996, de 9 de febrero, del Gobierno de Canarias, publicado en el BOC nº 30 de 8 de marzo de 1996, y modificación de la delimitación por Decreto 34/2008, de 11 de marzo, publicado en el BOC nº 58 de 22 de marzo de 2008.",BOC nº 30 de 8 de marzo de 1996,http://www.gobiernodecanarias.org/boc/1996/030/014.html,BOC nº 58 de 22 de marzo de 2008,http://www.gobiernodecanarias.org/boc/2008/058/006.html
